timestamp,epoch,train_loss,train_acc,val_loss,val_acc
2025-04-12 10:52:33,1,0.4790,81.74,1.6646,58.63
2025-04-12 10:58:47,2,0.2756,90.24,1.7426,56.35
2025-04-12 11:05:03,3,0.2035,92.93,1.4141,64.97
2025-04-12 11:11:28,4,0.1631,93.87,1.0800,66.24
2025-04-12 11:17:56,5,0.1407,95.12,2.1561,66.50
2025-04-12 11:24:19,6,0.1299,95.68,1.5194,67.77
2025-04-12 11:30:38,7,0.1158,96.20,1.2344,74.37
2025-04-12 11:36:54,8,0.1107,96.20,1.4659,70.30
2025-04-12 11:43:10,9,0.0756,97.67,1.5736,71.57
2025-04-12 11:49:30,10,0.0762,97.53,1.3231,66.50
